date,repo_rate,reverse_repo_rate,msf_rate,bank_rate,repo_reverse_spread,call_rate,cp_rate_3m,cd_rate_3m,tbill_91d,repo_call_spread,cp_repo_spread,yield_curve_slope,repo_volatility,call_volatility,repo_ma_30,repo_ma_90,repo_change,repo_sma_30,repo_sma_90,repo_volatility_30,repo_momentum
2019-01-17,6.25,6.0,6.5,6.5,0.25,6.08,6.95,6.54,6.03,0.1699999999999999,0.7000000000000002,0.92,,,,,0.0,,,,
2019-01-18,6.25,6.0,6.5,6.5,0.25,6.04,6.65,6.59,6.07,0.2099999999999999,0.4000000000000003,0.5800000000000001,,,,,0.0,,,,
2019-01-19,6.25,6.0,6.5,6.5,0.25,6.0,6.98,6.24,6.02,0.25,0.7300000000000004,0.9600000000000009,,,,,0.0,,,,
2019-01-20,6.25,6.0,6.5,6.5,0.25,6.01,6.71,6.56,5.79,0.2400000000000002,0.4599999999999999,0.92,,,,,0.0,,,,
2019-01-21,6.25,6.0,6.5,6.5,0.25,5.98,6.8,6.73,5.91,0.2699999999999996,0.5499999999999998,0.8899999999999997,,,,,0.0,,,,
2019-01-22,6.25,6.0,6.5,6.5,0.25,5.92,6.67,6.66,5.98,0.33,0.4199999999999999,0.6899999999999995,,,,,0.0,,,,
2019-01-23,6.25,6.0,6.5,6.5,0.25,5.95,6.83,6.56,6.03,0.2999999999999998,0.5800000000000001,0.7999999999999998,,,,,0.0,,,,
2019-01-24,6.25,6.0,6.5,6.5,0.25,5.93,6.7,6.5,5.83,0.3200000000000003,0.4500000000000002,0.8700000000000001,,,,,0.0,,,,
2019-01-25,6.25,6.0,6.5,6.5,0.25,6.03,6.79,6.55,5.93,0.2199999999999997,0.54,0.8600000000000003,,,,,0.0,,,,
2019-01-26,6.25,6.0,6.5,6.5,0.25,5.86,6.69,6.51,5.89,0.3899999999999997,0.4400000000000004,0.8000000000000007,,,,,0.0,,,,
2019-01-27,6.25,6.0,6.5,6.5,0.25,5.98,6.81,6.78,5.96,0.2699999999999996,0.5599999999999996,0.8499999999999996,,,,,0.0,,,,
2019-01-28,6.25,6.0,6.5,6.5,0.25,6.03,6.74,6.32,5.95,0.2199999999999997,0.4900000000000002,0.79,,,,,0.0,,,,
2019-01-29,6.25,6.0,6.5,6.5,0.25,6.01,7.12,6.53,5.97,0.2400000000000002,0.8700000000000001,1.1500000000000004,,,,,0.0,,,,
2019-01-30,6.25,6.0,6.5,6.5,0.25,6.0,6.57,6.69,6.01,0.25,0.3200000000000003,0.5600000000000005,0.0,0.06532060631374609,6.25,,0.0,6.25,,0.0,
2019-01-31,6.25,6.0,6.5,6.5,0.25,6.08,6.61,6.72,5.84,0.1699999999999999,0.3600000000000003,0.7700000000000005,0.0,0.06657810209191099,6.25,,0.0,6.25,,0.0,0.0
2019-02-01,6.25,6.0,6.5,6.5,0.25,6.06,7.08,6.43,5.9,0.1900000000000004,0.8300000000000001,1.1799999999999995,0.0,0.06794521119356342,6.25,,0.0,6.25,,0.0,0.0
2019-02-02,6.25,6.0,6.5,6.5,0.25,6.01,6.67,6.36,5.96,0.2400000000000002,0.4199999999999999,0.71,0.0,0.06767060177675084,6.25,,0.0,6.25,,0.0,0.0
2019-02-03,6.25,6.0,6.5,6.5,0.25,5.89,6.82,6.44,6.07,0.3600000000000003,0.5700000000000003,0.75,0.0,0.06981173369083127,6.25,,0.0,6.25,,0.0,0.0
2019-02-04,6.25,6.0,6.5,6.5,0.25,5.92,6.7,6.65,5.85,0.33,0.4500000000000002,0.8500000000000005,0.0,0.06905686479063941,6.25,,0.0,6.25,,0.0,0.0
2019-02-05,6.25,6.0,6.5,6.5,0.25,6.02,6.95,6.36,5.96,0.2300000000000004,0.7000000000000002,0.9900000000000002,0.0,0.062167737502718354,6.25,,0.0,6.25,,0.0,0.0
2019-02-06,6.25,6.0,6.5,6.5,0.25,6.03,6.87,6.4,5.84,0.2199999999999997,0.6200000000000001,1.0300000000000002,0.0,0.06246286252968479,6.25,,0.0,6.25,,0.0,0.0
2019-02-07,6.25,6.0,6.5,6.5,0.25,6.05,6.79,6.58,5.98,0.2000000000000001,0.54,0.8099999999999996,0.0,0.06297691604090337,6.25,,0.0,6.25,,0.0,0.0
2019-02-08,6.25,6.0,6.5,6.5,0.25,5.93,6.78,6.59,5.89,0.3200000000000003,0.5300000000000002,0.8900000000000006,0.0,0.06382087000563269,6.25,,0.0,6.25,,0.0,0.0
2019-02-09,6.25,6.0,6.5,6.5,0.25,6.19,6.82,6.41,6.0,0.0599999999999996,0.5700000000000003,0.8200000000000003,0.0,0.07372284226251984,6.25,,0.0,6.25,,0.0,0.0
2019-02-10,6.25,6.0,6.5,6.5,0.25,5.9,6.87,6.69,5.88,0.3499999999999996,0.6200000000000001,0.9900000000000002,0.0,0.07402702209328703,6.25,,0.0,6.25,,0.0,0.0
2019-02-11,6.25,6.0,6.5,6.5,0.25,6.1,6.81,6.65,6.1,0.1500000000000003,0.5599999999999996,0.71,0.0,0.07223922582037018,6.25,,0.0,6.25,,0.0,0.0
2019-02-12,6.25,6.0,6.5,6.5,0.25,5.98,6.64,6.44,5.88,0.2699999999999996,0.3899999999999997,0.7599999999999998,0.0,0.07196423121740858,6.25,,0.0,6.25,,0.0,0.0
2019-02-13,6.25,6.0,6.5,6.5,0.25,5.99,6.8,6.58,6.02,0.2599999999999998,0.5499999999999998,0.7800000000000002,0.0,0.07098971918443583,6.25,,0.0,6.25,,0.0,0.0
2019-02-14,6.25,6.0,6.5,6.5,0.25,6.0,6.97,6.52,6.17,0.25,0.7199999999999998,0.7999999999999998,0.0,0.06957671694058211,6.25,,0.0,6.25,,0.0,0.0
2019-02-15,6.25,6.0,6.5,6.5,0.25,6.06,6.62,6.42,5.99,0.1900000000000004,0.3700000000000001,0.6299999999999999,0.0,0.06989400842556606,6.25,,0.0,6.25,,0.0,0.0
2019-02-16,6.25,6.0,6.5,6.5,0.25,5.98,6.86,6.61,5.94,0.2699999999999996,0.6100000000000003,0.92,0.0,0.06836430472782956,6.25,,0.0,6.25,,0.0,0.0
2019-02-17,6.25,6.0,6.5,6.5,0.25,5.92,6.52,6.5,6.02,0.33,0.2699999999999996,0.5,0.0,0.06930608438898667,6.25,,0.0,6.25,,0.0,0.0
2019-02-18,6.25,6.0,6.5,6.5,0.25,6.02,6.56,6.57,5.98,0.2300000000000004,0.3099999999999996,0.5799999999999992,0.0,0.06946511569738137,6.25,,0.0,6.25,,0.0,0.0
2019-02-19,6.25,6.0,6.5,6.5,0.25,5.91,6.77,6.56,5.86,0.3399999999999998,0.5199999999999996,0.9099999999999993,0.0,0.0710682042489637,6.25,,0.0,6.25,,0.0,0.0
2019-02-20,6.25,6.0,6.5,6.5,0.25,6.04,6.83,6.68,6.03,0.2099999999999999,0.5800000000000001,0.7999999999999998,0.0,0.07159030949641935,6.25,,0.0,6.25,,0.0,0.0
2019-02-21,6.25,6.0,6.5,6.5,0.25,5.86,6.61,6.61,5.99,0.3899999999999997,0.3600000000000003,0.6200000000000001,0.0,0.0744798051777148,6.25,,0.0,6.25,,0.0,0.0
2019-02-22,6.25,6.0,6.5,6.5,0.25,6.05,7.33,6.62,6.04,0.2000000000000001,1.08,1.29,0.0,0.0748185544631412,6.25,,0.0,6.25,,0.0,0.0
2019-02-23,6.25,6.0,6.5,6.5,0.25,6.1,6.85,6.51,6.01,0.1500000000000003,0.5999999999999996,0.8399999999999999,0.0,0.07620299568733592,6.25,,0.0,6.25,,0.0,0.0
2019-02-24,6.25,6.0,6.5,6.5,0.25,5.92,6.71,6.49,5.96,0.33,0.4599999999999999,0.75,0.0,0.07734755120985357,6.25,,0.0,6.25,,0.0,0.0
2019-02-25,6.25,6.0,6.5,6.5,0.25,6.23,6.47,6.63,5.82,0.0199999999999995,0.2199999999999997,0.6499999999999995,0.0,0.08406620270228472,6.25,,0.0,6.25,,0.0,0.0
2019-02-26,6.25,6.0,6.5,6.5,0.25,5.95,6.91,6.56,5.86,0.2999999999999998,0.6600000000000001,1.0499999999999998,0.0,0.0845957255516448,6.25,,0.0,6.25,,0.0,0.0
2019-02-27,6.25,6.0,6.5,6.5,0.25,5.93,6.85,6.46,5.97,0.3200000000000003,0.5999999999999996,0.8799999999999999,0.0,0.08564897621359402,6.25,,0.0,6.25,,0.0,0.0
2019-02-28,6.25,6.0,6.5,6.5,0.25,6.0,6.65,6.81,6.0,0.25,0.4000000000000003,0.6500000000000004,0.0,0.0856456211010996,6.25,,0.0,6.25,,0.0,0.0
2019-03-01,6.25,6.0,6.5,6.5,0.25,5.8,6.78,6.47,6.02,0.4500000000000002,0.5300000000000002,0.7600000000000007,0.0,0.09340063255096055,6.25,,0.0,6.25,,0.0,0.0
2019-03-02,6.25,6.0,6.5,6.5,0.25,5.92,6.73,6.61,6.02,0.33,0.4800000000000004,0.7100000000000009,0.0,0.09308505565452976,6.25,,0.0,6.25,,0.0,0.0
2019-03-03,6.25,6.0,6.5,6.5,0.25,5.88,6.7,6.49,5.9,0.3700000000000001,0.4500000000000002,0.7999999999999998,0.0,0.09434346641486324,6.25,,0.0,6.25,,0.0,0.0
2019-03-04,6.25,6.0,6.5,6.5,0.25,6.18,6.81,6.4,6.02,0.0700000000000002,0.5599999999999996,0.79,0.0,0.10072438780578703,6.25,,0.0,6.25,,0.0,0.0
2019-03-05,6.25,6.0,6.5,6.5,0.25,6.21,6.9,6.37,5.91,0.04,0.6500000000000004,0.9900000000000002,0.0,0.10637225893654963,6.25,,0.0,6.25,,0.0,0.0
2019-03-06,6.25,6.0,6.5,6.5,0.25,6.13,6.64,6.6,6.01,0.1200000000000001,0.3899999999999997,0.6299999999999999,0.0,0.1076691398598545,6.25,,0.0,6.25,,0.0,0.0
2019-03-07,6.25,6.0,6.5,6.5,0.25,5.91,6.74,6.16,5.87,0.3399999999999998,0.4900000000000002,0.8700000000000001,0.0,0.10915611513453727,6.25,,0.0,6.25,,0.0,0.0
2019-03-08,6.25,6.0,6.5,6.5,0.25,5.97,6.56,6.75,5.84,0.2800000000000002,0.3099999999999996,0.7199999999999998,0.0,0.10924453220226603,6.25,,0.0,6.25,,0.0,0.0
2019-03-09,6.25,6.0,6.5,6.5,0.25,5.96,6.77,6.72,5.84,0.29,0.5199999999999996,0.9299999999999996,0.0,0.10916401242715194,6.25,,0.0,6.25,,0.0,0.0
2019-03-10,6.25,6.0,6.5,6.5,0.25,6.12,6.75,6.43,5.99,0.1299999999999999,0.5,0.7599999999999998,0.0,0.11042707064408834,6.25,,0.0,6.25,,0.0,0.0
2019-03-11,6.25,6.0,6.5,6.5,0.25,6.02,6.66,6.56,5.92,0.2300000000000004,0.4100000000000001,0.7400000000000002,0.0,0.10493785791118704,6.25,,0.0,6.25,,0.0,0.0
2019-03-12,6.25,6.0,6.5,6.5,0.25,6.01,6.85,6.74,5.85,0.2400000000000002,0.5999999999999996,1.0,0.0,0.10318212889903909,6.25,,0.0,6.25,,0.0,0.0
2019-03-13,6.25,6.0,6.5,6.5,0.25,6.21,6.46,6.53,6.0,0.04,0.2099999999999999,0.4599999999999999,0.0,0.10849227950708601,6.25,,0.0,6.25,,0.0,0.0
2019-03-14,6.25,6.0,6.5,6.5,0.25,6.03,6.66,6.53,5.91,0.2199999999999997,0.4100000000000001,0.75,0.0,0.10842074280904171,6.25,,0.0,6.25,,0.0,0.0
2019-03-15,6.25,6.0,6.5,6.5,0.25,5.94,6.88,6.59,5.89,0.3099999999999996,0.6299999999999999,0.9900000000000002,0.0,0.10912610021038247,6.25,,0.0,6.25,,0.0,0.0
2019-03-16,6.25,6.0,6.5,6.5,0.25,6.09,6.8,6.65,6.0,0.1600000000000001,0.5499999999999998,0.7999999999999998,0.0,0.11011227290215272,6.25,,0.0,6.25,,0.0,0.0
2019-03-17,6.25,6.0,6.5,6.5,0.25,5.92,6.67,6.64,6.0,0.33,0.4199999999999999,0.6699999999999999,0.0,0.11095665509713612,6.25,,0.0,6.25,,0.0,0.0
2019-03-18,6.25,6.0,6.5,6.5,0.25,6.0,6.77,6.7,5.9,0.25,0.5199999999999996,0.8699999999999992,0.0,0.11084886677078758,6.25,,0.0,6.25,,0.0,0.0
2019-03-19,6.25,6.0,6.5,6.5,0.25,6.05,6.72,6.52,6.04,0.2000000000000001,0.4699999999999997,0.6799999999999997,0.0,0.10984000904136386,6.25,,0.0,6.25,,0.0,0.0
2019-03-20,6.25,6.0,6.5,6.5,0.25,6.08,6.87,6.71,5.95,0.1699999999999999,0.6200000000000001,0.92,0.0,0.11053475034794606,6.25,,0.0,6.25,,0.0,0.0
2019-03-21,6.25,6.0,6.5,6.5,0.25,6.07,6.7,6.59,5.94,0.1799999999999997,0.4500000000000002,0.7599999999999998,0.0,0.10919559588609584,6.25,,0.0,6.25,,0.0,0.0
2019-03-22,6.25,6.0,6.5,6.5,0.25,6.01,6.84,6.45,6.12,0.2400000000000002,0.5899999999999999,0.7199999999999998,0.0,0.10913715930071616,6.25,,0.0,6.25,,0.0,0.0
2019-03-23,6.25,6.0,6.5,6.5,0.25,5.9,6.57,6.69,6.01,0.3499999999999996,0.3200000000000003,0.5600000000000005,0.0,0.10736606197662196,6.25,,0.0,6.25,,0.0,0.0
2019-03-24,6.25,6.0,6.5,6.5,0.25,6.06,6.84,6.55,5.88,0.1900000000000004,0.5899999999999999,0.96,0.0,0.10747894741730142,6.25,,0.0,6.25,,0.0,0.0
2019-03-25,6.25,6.0,6.5,6.5,0.25,6.01,6.65,6.67,5.94,0.2400000000000002,0.4000000000000003,0.71,0.0,0.10641979333654578,6.25,,0.0,6.25,,0.0,0.0
2019-03-26,6.25,6.0,6.5,6.5,0.25,5.92,6.7,6.6,5.9,0.33,0.4500000000000002,0.7999999999999998,0.0,0.10641979333654578,6.25,,0.0,6.25,,0.0,0.0
2019-03-27,6.25,6.0,6.5,6.5,0.25,5.92,6.79,6.58,5.91,0.33,0.54,0.8799999999999999,0.0,0.09987348318586944,6.25,,0.0,6.25,,0.0,0.0
2019-03-28,6.25,6.0,6.5,6.5,0.25,5.95,6.78,6.38,5.84,0.2999999999999998,0.5300000000000002,0.9400000000000004,0.0,0.09987348318586944,6.25,,0.0,6.25,,0.0,0.0
2019-03-29,6.25,6.0,6.5,6.5,0.25,5.93,6.72,6.59,6.07,0.3200000000000003,0.4699999999999997,0.6499999999999995,0.0,0.09987348318586944,6.25,,0.0,6.25,,0.0,0.0
2019-03-30,6.25,6.0,6.5,6.5,0.25,6.09,6.73,6.55,5.87,0.1600000000000001,0.4800000000000004,0.8600000000000003,0.0,0.10101155049465048,6.25,,0.0,6.25,,0.0,0.0
2019-03-31,6.25,6.0,6.5,6.5,0.25,6.0,6.71,6.59,5.88,0.25,0.4599999999999999,0.8300000000000001,0.0,0.09297694683994608,6.25,6.25,0.0,6.25,6.25,0.0,0.0
2019-04-01,6.25,6.0,6.5,6.5,0.25,6.05,6.98,6.54,5.98,0.2000000000000001,0.7300000000000004,1.0,0.0,0.09134751127475753,6.25,6.25,0.0,6.25,6.25,0.0,0.0
2019-04-02,6.25,6.0,6.5,6.5,0.25,6.07,6.69,6.58,5.95,0.1799999999999997,0.4400000000000004,0.7400000000000002,0.0,0.08777518304521326,6.25,6.25,0.0,6.25,6.25,0.0,0.0
2019-04-03,6.25,6.0,6.5,6.5,0.25,6.01,6.63,6.55,5.99,0.2400000000000002,0.3799999999999999,0.6399999999999997,0.0,0.08290972794856918,6.25,6.25,0.0,6.25,6.25,0.0,0.0
2019-04-04,6.0,5.75,6.25,6.25,0.25,6.15,6.89,6.81,5.89,-0.1500000000000003,0.8899999999999997,1.0,0.045643546458763805,0.07882470002057314,6.241666666666666,6.247222222222222,-0.25,6.241666666666666,6.247222222222222,0.045643546458763805,-0.040000000000000036
2019-04-05,6.0,5.75,6.25,6.25,0.25,6.09,6.78,6.81,5.89,-0.0899999999999998,0.7800000000000002,0.8900000000000006,0.06342703292561558,0.07720996898292888,6.233333333333333,6.2444444444444445,0.0,6.233333333333333,6.2444444444444445,0.06342703292561558,-0.040000000000000036
2019-04-06,6.0,5.75,6.25,6.25,0.25,5.92,6.66,6.3,5.91,0.08,0.6600000000000001,0.75,0.0762821441573411,0.07674783309682096,6.225,6.241666666666666,0.0,6.225,6.241666666666666,0.0762821441573411,-0.040000000000000036
2019-04-07,6.0,5.75,6.25,6.25,0.25,5.92,6.77,6.59,6.1,0.08,0.7699999999999996,0.6699999999999999,0.08643647591043997,0.07835961896957827,6.216666666666667,6.238888888888889,0.0,6.216666666666667,6.238888888888889,0.08643647591043997,-0.040000000000000036
2019-04-08,6.0,5.75,6.25,6.25,0.25,6.1,6.66,6.44,5.99,-0.0999999999999996,0.6600000000000001,0.6699999999999999,0.09476225544736276,0.07903440251946742,6.208333333333333,6.236111111111111,0.0,6.208333333333333,6.236111111111111,0.09476225544736276,-0.040000000000000036
2019-04-09,6.0,5.75,6.25,6.25,0.25,5.87,7.02,6.69,5.91,0.1299999999999999,1.0199999999999996,1.1099999999999994,0.1017095255431214,0.08141634166219461,6.2,6.233333333333333,0.0,6.2,6.233333333333333,0.1017095255431214,-0.040000000000000036
2019-04-10,6.0,5.75,6.25,6.25,0.25,5.83,6.95,6.54,6.05,0.1699999999999999,0.9500000000000002,0.9000000000000004,0.10754576678801893,0.08797857628455649,6.191666666666666,6.230555555555555,0.0,6.191666666666666,6.230555555555555,0.10754576678801893,-0.040000000000000036
2019-04-11,6.0,5.75,6.25,6.25,0.25,5.84,6.66,6.55,5.95,0.1600000000000001,0.6600000000000001,0.71,0.11244411127720072,0.09308320341834375,6.183333333333334,6.227777777777778,0.0,6.183333333333334,6.227777777777778,0.11244411127720072,-0.040000000000000036
2019-04-12,6.0,5.75,6.25,6.25,0.25,5.95,6.84,6.42,5.94,0.0499999999999998,0.8399999999999999,0.8999999999999995,0.11652289992484954,0.08467720995083367,6.175,6.225,0.0,6.175,6.225,0.11652289992484954,-0.040000000000000036
2019-04-13,6.0,5.75,6.25,6.25,0.25,6.01,6.83,6.64,5.86,-0.0099999999999997,0.8300000000000001,0.9699999999999998,0.11986582537134584,0.08444885550084377,6.166666666666667,6.222222222222222,0.0,6.166666666666667,6.222222222222222,0.11986582537134584,-0.040000000000000036
2019-04-14,6.0,5.75,6.25,6.25,0.25,5.85,6.94,6.59,5.89,0.1500000000000003,0.9400000000000004,1.0500000000000007,0.12253312946339005,0.08787661151054255,6.158333333333333,6.219444444444444,0.0,6.158333333333333,6.219444444444444,0.12253312946339005,-0.040000000000000036
2019-04-15,6.0,5.75,6.25,6.25,0.25,6.16,6.77,6.69,5.96,-0.1600000000000001,0.7699999999999996,0.8099999999999996,0.12456821978060975,0.09151408408658744,6.15,6.216666666666667,0.0,6.15,6.216666666666667,0.12456821978060975,-0.040000000000000036
2019-04-16,6.0,5.75,6.25,6.25,0.25,6.21,7.01,6.52,6.03,-0.2099999999999999,1.0099999999999998,0.9799999999999996,0.1260017332484325,0.09878340406940983,6.141666666666667,6.213888888888889,0.0,6.141666666666667,6.213888888888889,0.1260017332484325,-0.040000000000000036
2019-04-17,6.0,5.75,6.25,6.25,0.25,6.06,6.96,6.43,6.0,-0.0599999999999996,0.96,0.96,0.12685406585123102,0.09937505873633802,6.133333333333334,6.211111111111111,0.0,6.133333333333334,6.211111111111111,0.12685406585123102,-0.040000000000000036
2019-04-18,6.0,5.75,6.25,6.25,0.25,6.11,6.49,6.41,5.79,-0.1100000000000003,0.4900000000000002,0.7000000000000002,0.12713690692890176,0.10095179229620516,6.125,6.208333333333333,0.0,6.125,6.208333333333333,0.12713690692890176,-0.040000000000000036
2019-04-19,6.0,5.75,6.25,6.25,0.25,5.97,6.86,6.73,5.96,0.0300000000000002,0.8600000000000003,0.9000000000000004,0.12685406585123102,0.1001154505971777,6.116666666666666,6.205555555555556,0.0,6.116666666666666,6.205555555555556,0.12685406585123102,-0.040000000000000036
2019-04-20,6.0,5.75,6.25,6.25,0.25,6.16,6.54,6.35,5.95,-0.1600000000000001,0.54,0.5899999999999999,0.1260017332484325,0.10354409355605411,6.108333333333333,6.2027777777777775,0.0,6.108333333333333,6.2027777777777775,0.1260017332484325,-0.040000000000000036
2019-04-21,6.0,5.75,6.25,6.25,0.25,6.04,6.75,6.3,5.94,-0.04,0.75,0.8099999999999996,0.12456821978060975,0.1037487016952421,6.1,6.2,0.0,6.1,6.2,0.12456821978060975,-0.040000000000000036
2019-04-22,6.0,5.75,6.25,6.25,0.25,5.87,6.85,6.59,5.87,0.1299999999999999,0.8499999999999996,0.9799999999999996,0.12253312946339005,0.10493347646370382,6.091666666666667,6.197222222222222,0.0,6.091666666666667,6.197222222222222,0.12253312946339005,-0.040000000000000036
2019-04-23,6.0,5.75,6.25,6.25,0.25,5.95,6.59,6.54,6.03,0.0499999999999998,0.5899999999999999,0.5599999999999996,0.11986582537134585,0.1048310079598834,6.083333333333333,6.194444444444445,0.0,6.083333333333333,6.194444444444445,0.11986582537134585,-0.040000000000000036
2019-04-24,6.0,5.75,6.25,6.25,0.25,5.9,6.83,6.49,5.89,0.0999999999999996,0.8300000000000001,0.9400000000000004,0.11652289992484956,0.10639332793876295,6.075,6.191666666666666,0.0,6.075,6.191666666666666,0.11652289992484956,-0.040000000000000036
2019-04-25,6.0,5.75,6.25,6.25,0.25,5.99,6.59,6.48,5.85,0.0099999999999997,0.5899999999999999,0.7400000000000002,0.11244411127720072,0.10541706987338312,6.066666666666666,6.188888888888889,0.0,6.066666666666666,6.188888888888889,0.11244411127720072,-0.040000000000000036
2019-04-26,6.0,5.75,6.25,6.25,0.25,6.2,6.76,6.47,5.97,-0.2000000000000001,0.7599999999999998,0.79,0.10754576678801893,0.11045621174313251,6.058333333333334,6.186111111111111,0.0,6.058333333333334,6.186111111111111,0.10754576678801893,-0.040000000000000036
2019-04-27,6.0,5.75,6.25,6.25,0.25,5.99,6.72,6.62,6.01,0.0099999999999997,0.7199999999999998,0.71,0.10170952554312142,0.10996812495331167,6.05,6.183333333333334,0.0,6.05,6.183333333333334,0.10170952554312142,-0.040000000000000036
2019-04-28,6.0,5.75,6.25,6.25,0.25,5.95,6.66,6.52,5.77,0.0499999999999998,0.6600000000000001,0.8900000000000006,0.09476225544736276,0.10952824650111602,6.041666666666667,6.180555555555555,0.0,6.041666666666667,6.180555555555555,0.09476225544736276,-0.040000000000000036
2019-04-29,6.0,5.75,6.25,6.25,0.25,5.85,6.96,6.75,5.93,0.1500000000000003,0.96,1.0300000000000002,0.08643647591043999,0.11223999328204765,6.033333333333333,6.177777777777778,0.0,6.033333333333333,6.177777777777778,0.08643647591043999,-0.040000000000000036
2019-04-30,6.0,5.75,6.25,6.25,0.25,6.06,6.8,6.92,6.04,-0.0599999999999996,0.7999999999999998,0.7599999999999998,0.07628214415734111,0.11273047910631934,6.025,6.175,0.0,6.025,6.175,0.07628214415734111,-0.040000000000000036
2019-05-01,6.0,5.75,6.25,6.25,0.25,5.99,6.61,6.36,5.97,0.0099999999999997,0.6100000000000003,0.6400000000000006,0.06342703292561558,0.11242417623580316,6.016666666666667,6.1722222222222225,0.0,6.016666666666667,6.1722222222222225,0.06342703292561558,-0.040000000000000036
2019-05-02,6.0,5.75,6.25,6.25,0.25,5.92,6.54,6.47,5.86,0.08,0.54,0.6799999999999997,0.04564354645876382,0.11264632884519116,6.008333333333334,6.169444444444444,0.0,6.008333333333334,6.169444444444444,0.04564354645876382,-0.040000000000000036
2019-05-03,6.0,5.75,6.25,6.25,0.25,6.17,6.88,6.55,6.07,-0.1699999999999999,0.8799999999999999,0.8099999999999996,0.0,0.11697135910373442,6.0,6.166666666666667,0.0,6.0,6.166666666666667,0.0,-0.040000000000000036
2019-05-04,6.0,5.75,6.25,6.25,0.25,6.01,6.62,6.73,5.99,-0.0099999999999997,0.6200000000000001,0.6299999999999999,0.0,0.11363583698937564,6.0,6.163888888888889,0.0,6.0,6.163888888888889,0.0,0.0
2019-05-05,6.0,5.75,6.25,6.25,0.25,5.9,6.72,6.44,5.84,0.0999999999999996,0.7199999999999998,0.8799999999999999,0.0,0.11362622734311825,6.0,6.161111111111111,0.0,6.0,6.161111111111111,0.0,0.0
2019-05-06,6.0,5.75,6.25,6.25,0.25,6.09,7.04,6.38,6.0,-0.0899999999999998,1.04,1.04,0.0,0.11416664569175111,6.0,6.158333333333333,0.0,6.0,6.158333333333333,0.0,0.0
2019-05-07,6.0,5.75,6.25,6.25,0.25,5.93,6.68,6.48,5.88,0.0700000000000002,0.6799999999999997,0.7999999999999998,0.0,0.11394745713927025,6.0,6.155555555555556,0.0,6.0,6.155555555555556,0.0,0.0
2019-05-08,6.0,5.75,6.25,6.25,0.25,6.0,6.63,6.58,5.95,0.0,0.6299999999999999,0.6799999999999997,0.0,0.11230142116376976,6.0,6.152777777777778,0.0,6.0,6.152777777777778,0.0,0.0
