date,repo_rate,reverse_repo_rate,msf_rate,bank_rate,repo_reverse_spread,call_rate,cp_rate_3m,cd_rate_3m,tbill_91d,repo_call_spread,cp_repo_spread,yield_curve_slope
2019-01-30,6.25,6.0,6.5,6.5,0.25,6.0,6.57,6.69,6.01,0.25,0.3200000000000003,0.5600000000000005
2019-01-31,6.25,6.0,6.5,6.5,0.25,6.08,6.61,6.72,5.84,0.16999999999999993,0.3600000000000003,0.7700000000000005
2019-02-01,6.25,6.0,6.5,6.5,0.25,6.06,7.08,6.43,5.9,0.1900000000000004,0.8300000000000001,1.1799999999999997
2019-02-02,6.25,6.0,6.5,6.5,0.25,6.01,6.67,6.36,5.96,0.2400000000000002,0.41999999999999993,0.71
2019-02-03,6.25,6.0,6.5,6.5,0.25,5.89,6.82,6.44,6.07,0.3600000000000003,0.5700000000000003,0.75
2019-02-04,6.25,6.0,6.5,6.5,0.25,5.92,6.7,6.65,5.85,0.33000000000000007,0.4500000000000002,0.8500000000000005
2019-02-05,6.25,6.0,6.5,6.5,0.25,6.02,6.95,6.36,5.96,0.23000000000000043,0.7000000000000002,0.9900000000000002
2019-02-06,6.25,6.0,6.5,6.5,0.25,6.03,6.87,6.4,5.84,0.21999999999999975,0.6200000000000001,1.0300000000000002
2019-02-07,6.25,6.0,6.5,6.5,0.25,6.05,6.79,6.58,5.98,0.20000000000000018,0.54,0.8099999999999996
2019-02-08,6.25,6.0,6.5,6.5,0.25,5.93,6.78,6.59,5.89,0.3200000000000003,0.5300000000000002,0.8900000000000006
2019-02-09,6.25,6.0,6.5,6.5,0.25,6.19,6.82,6.41,6.0,0.05999999999999961,0.5700000000000003,0.8200000000000003
2019-02-10,6.25,6.0,6.5,6.5,0.25,5.9,6.87,6.69,5.88,0.34999999999999964,0.6200000000000001,0.9900000000000002
2019-02-11,6.25,6.0,6.5,6.5,0.25,6.1,6.81,6.65,6.1,0.15000000000000036,0.5599999999999996,0.71
2019-02-12,6.25,6.0,6.5,6.5,0.25,5.98,6.64,6.44,5.88,0.2699999999999996,0.3899999999999997,0.7599999999999998
2019-02-13,6.25,6.0,6.5,6.5,0.25,5.99,6.8,6.58,6.02,0.2599999999999998,0.5499999999999998,0.7800000000000002
2019-02-14,6.25,6.0,6.5,6.5,0.25,6.0,6.97,6.52,6.17,0.25,0.7199999999999998,0.7999999999999998
2019-02-15,6.25,6.0,6.5,6.5,0.25,6.06,6.62,6.42,5.99,0.1900000000000004,0.3700000000000001,0.6299999999999999
2019-02-16,6.25,6.0,6.5,6.5,0.25,5.98,6.86,6.61,5.94,0.2699999999999996,0.6100000000000003,0.9199999999999999
2019-02-17,6.25,6.0,6.5,6.5,0.25,5.92,6.52,6.5,6.02,0.33000000000000007,0.2699999999999996,0.5
2019-02-18,6.25,6.0,6.5,6.5,0.25,6.02,6.56,6.57,5.98,0.23000000000000043,0.3099999999999996,0.5799999999999992
2019-02-19,6.25,6.0,6.5,6.5,0.25,5.91,6.77,6.56,5.86,0.33999999999999986,0.5199999999999996,0.9099999999999993
2019-02-20,6.25,6.0,6.5,6.5,0.25,6.04,6.83,6.68,6.03,0.20999999999999996,0.5800000000000001,0.7999999999999998
2019-02-21,6.25,6.0,6.5,6.5,0.25,5.86,6.61,6.61,5.99,0.3899999999999997,0.3600000000000003,0.6200000000000001
2019-02-22,6.25,6.0,6.5,6.5,0.25,6.05,7.33,6.62,6.04,0.20000000000000018,1.08,1.29
2019-02-23,6.25,6.0,6.5,6.5,0.25,6.1,6.85,6.51,6.01,0.15000000000000036,0.5999999999999996,0.8399999999999999
2019-02-24,6.25,6.0,6.5,6.5,0.25,5.92,6.71,6.49,5.96,0.33000000000000007,0.45999999999999996,0.75
2019-02-25,6.25,6.0,6.5,6.5,0.25,6.23,6.47,6.63,5.82,0.019999999999999574,0.21999999999999975,0.6499999999999995
2019-02-26,6.25,6.0,6.5,6.5,0.25,5.95,6.91,6.56,5.86,0.2999999999999998,0.6600000000000001,1.0499999999999998
2019-02-27,6.25,6.0,6.5,6.5,0.25,5.93,6.85,6.46,5.97,0.3200000000000003,0.5999999999999996,0.8799999999999999
2019-02-28,6.25,6.0,6.5,6.5,0.25,6.0,6.65,6.81,6.0,0.25,0.40000000000000036,0.6500000000000004
2019-03-01,6.25,6.0,6.5,6.5,0.25,5.8,6.78,6.47,6.02,0.4500000000000002,0.5300000000000002,0.7600000000000007
2019-03-02,6.25,6.0,6.5,6.5,0.25,5.92,6.73,6.61,6.02,0.33000000000000007,0.4800000000000004,0.7100000000000009
2019-03-03,6.25,6.0,6.5,6.5,0.25,5.88,6.7,6.49,5.9,0.3700000000000001,0.4500000000000002,0.7999999999999998
2019-03-04,6.25,6.0,6.5,6.5,0.25,6.18,6.81,6.4,6.02,0.07000000000000028,0.5599999999999996,0.79
2019-03-05,6.25,6.0,6.5,6.5,0.25,6.21,6.9,6.37,5.91,0.040000000000000036,0.6500000000000004,0.9900000000000002
2019-03-06,6.25,6.0,6.5,6.5,0.25,6.13,6.64,6.6,6.01,0.1200000000000001,0.3899999999999997,0.6299999999999999
2019-03-07,6.25,6.0,6.5,6.5,0.25,5.91,6.74,6.16,5.87,0.33999999999999986,0.4900000000000002,0.8700000000000001
2019-03-08,6.25,6.0,6.5,6.5,0.25,5.97,6.56,6.75,5.84,0.28000000000000025,0.3099999999999996,0.7199999999999998
2019-03-09,6.25,6.0,6.5,6.5,0.25,5.96,6.77,6.72,5.84,0.29000000000000004,0.5199999999999996,0.9299999999999997
2019-03-10,6.25,6.0,6.5,6.5,0.25,6.12,6.75,6.43,5.99,0.1299999999999999,0.5,0.7599999999999998
2019-03-11,6.25,6.0,6.5,6.5,0.25,6.02,6.66,6.56,5.92,0.23000000000000043,0.41000000000000014,0.7400000000000002
2019-03-12,6.25,6.0,6.5,6.5,0.25,6.01,6.85,6.74,5.85,0.2400000000000002,0.5999999999999996,1.0
2019-03-13,6.25,6.0,6.5,6.5,0.25,6.21,6.46,6.53,6.0,0.040000000000000036,0.20999999999999996,0.45999999999999996
2019-03-14,6.25,6.0,6.5,6.5,0.25,6.03,6.66,6.53,5.91,0.21999999999999975,0.41000000000000014,0.75
2019-03-15,6.25,6.0,6.5,6.5,0.25,5.94,6.88,6.59,5.89,0.3099999999999996,0.6299999999999999,0.9900000000000002
2019-03-16,6.25,6.0,6.5,6.5,0.25,6.09,6.8,6.65,6.0,0.16000000000000014,0.5499999999999998,0.7999999999999998
2019-03-17,6.25,6.0,6.5,6.5,0.25,5.92,6.67,6.64,6.0,0.33000000000000007,0.41999999999999993,0.6699999999999999
2019-03-18,6.25,6.0,6.5,6.5,0.25,6.0,6.77,6.7,5.9,0.25,0.5199999999999996,0.8699999999999992
2019-03-19,6.25,6.0,6.5,6.5,0.25,6.05,6.72,6.52,6.04,0.20000000000000018,0.46999999999999975,0.6799999999999997
2019-03-20,6.25,6.0,6.5,6.5,0.25,6.08,6.87,6.71,5.95,0.16999999999999993,0.6200000000000001,0.9199999999999999
2019-03-21,6.25,6.0,6.5,6.5,0.25,6.07,6.7,6.59,5.94,0.17999999999999972,0.4500000000000002,0.7599999999999998
2019-03-22,6.25,6.0,6.5,6.5,0.25,6.01,6.84,6.45,6.12,0.2400000000000002,0.5899999999999999,0.7199999999999998
2019-03-23,6.25,6.0,6.5,6.5,0.25,5.9,6.57,6.69,6.01,0.34999999999999964,0.3200000000000003,0.5600000000000005
2019-03-24,6.25,6.0,6.5,6.5,0.25,6.06,6.84,6.55,5.88,0.1900000000000004,0.5899999999999999,0.96
2019-03-25,6.25,6.0,6.5,6.5,0.25,6.01,6.65,6.67,5.94,0.2400000000000002,0.40000000000000036,0.71
2019-03-26,6.25,6.0,6.5,6.5,0.25,5.92,6.7,6.6,5.9,0.33000000000000007,0.4500000000000002,0.7999999999999998
2019-03-27,6.25,6.0,6.5,6.5,0.25,5.92,6.79,6.58,5.91,0.33000000000000007,0.54,0.8799999999999999
2019-03-28,6.25,6.0,6.5,6.5,0.25,5.95,6.78,6.38,5.84,0.2999999999999998,0.5300000000000002,0.9400000000000004
2019-03-29,6.25,6.0,6.5,6.5,0.25,5.93,6.72,6.59,6.07,0.3200000000000003,0.46999999999999975,0.6499999999999995
2019-03-30,6.25,6.0,6.5,6.5,0.25,6.09,6.73,6.55,5.87,0.16000000000000014,0.4800000000000004,0.8600000000000003
2019-03-31,6.25,6.0,6.5,6.5,0.25,6.0,6.71,6.59,5.88,0.25,0.45999999999999996,0.8300000000000001
2019-04-01,6.25,6.0,6.5,6.5,0.25,6.05,6.98,6.54,5.98,0.20000000000000018,0.7300000000000004,1.0
2019-04-02,6.25,6.0,6.5,6.5,0.25,6.07,6.69,6.58,5.95,0.17999999999999972,0.4400000000000004,0.7400000000000002
2019-04-03,6.25,6.0,6.5,6.5,0.25,6.01,6.63,6.55,5.99,0.2400000000000002,0.3799999999999999,0.6399999999999997
2019-04-04,6.0,5.75,6.25,6.25,0.25,6.15,6.89,6.81,5.89,-0.15000000000000036,0.8899999999999997,1.0
2019-04-05,6.0,5.75,6.25,6.25,0.25,6.09,6.78,6.81,5.89,-0.08999999999999986,0.7800000000000002,0.8900000000000006
2019-04-06,6.0,5.75,6.25,6.25,0.25,5.92,6.66,6.3,5.91,0.08000000000000007,0.6600000000000001,0.75
2019-04-07,6.0,5.75,6.25,6.25,0.25,5.92,6.77,6.59,6.1,0.08000000000000007,0.7699999999999996,0.6699999999999999
2019-04-08,6.0,5.75,6.25,6.25,0.25,6.1,6.66,6.44,5.99,-0.09999999999999964,0.6600000000000001,0.6699999999999999
2019-04-09,6.0,5.75,6.25,6.25,0.25,5.87,7.02,6.69,5.91,0.1299999999999999,1.0199999999999996,1.1099999999999994
2019-04-10,6.0,5.75,6.25,6.25,0.25,5.83,6.95,6.54,6.05,0.16999999999999993,0.9500000000000002,0.9000000000000004
2019-04-11,6.0,5.75,6.25,6.25,0.25,5.84,6.66,6.55,5.95,0.16000000000000014,0.6600000000000001,0.71
2019-04-12,6.0,5.75,6.25,6.25,0.25,5.95,6.84,6.42,5.94,0.04999999999999982,0.8399999999999999,0.8999999999999995
2019-04-13,6.0,5.75,6.25,6.25,0.25,6.01,6.83,6.64,5.86,-0.009999999999999787,0.8300000000000001,0.9699999999999998
2019-04-14,6.0,5.75,6.25,6.25,0.25,5.85,6.94,6.59,5.89,0.15000000000000036,0.9400000000000004,1.0500000000000007
2019-04-15,6.0,5.75,6.25,6.25,0.25,6.16,6.77,6.69,5.96,-0.16000000000000014,0.7699999999999996,0.8099999999999996
2019-04-16,6.0,5.75,6.25,6.25,0.25,6.21,7.01,6.52,6.03,-0.20999999999999996,1.0099999999999998,0.9799999999999995
2019-04-17,6.0,5.75,6.25,6.25,0.25,6.06,6.96,6.43,6.0,-0.05999999999999961,0.96,0.96
2019-04-18,6.0,5.75,6.25,6.25,0.25,6.11,6.49,6.41,5.79,-0.11000000000000032,0.4900000000000002,0.7000000000000002
2019-04-19,6.0,5.75,6.25,6.25,0.25,5.97,6.86,6.73,5.96,0.03000000000000025,0.8600000000000003,0.9000000000000004
2019-04-20,6.0,5.75,6.25,6.25,0.25,6.16,6.54,6.35,5.95,-0.16000000000000014,0.54,0.5899999999999999
2019-04-21,6.0,5.75,6.25,6.25,0.25,6.04,6.75,6.3,5.94,-0.040000000000000036,0.75,0.8099999999999996
2019-04-22,6.0,5.75,6.25,6.25,0.25,5.87,6.85,6.59,5.87,0.1299999999999999,0.8499999999999996,0.9799999999999995
2019-04-23,6.0,5.75,6.25,6.25,0.25,5.95,6.59,6.54,6.03,0.04999999999999982,0.5899999999999999,0.5599999999999996
2019-04-24,6.0,5.75,6.25,6.25,0.25,5.9,6.83,6.49,5.89,0.09999999999999964,0.8300000000000001,0.9400000000000004
2019-04-25,6.0,5.75,6.25,6.25,0.25,5.99,6.59,6.48,5.85,0.009999999999999787,0.5899999999999999,0.7400000000000002
2019-04-26,6.0,5.75,6.25,6.25,0.25,6.2,6.76,6.47,5.97,-0.20000000000000018,0.7599999999999998,0.79
2019-04-27,6.0,5.75,6.25,6.25,0.25,5.99,6.72,6.62,6.01,0.009999999999999787,0.7199999999999998,0.71
2019-04-28,6.0,5.75,6.25,6.25,0.25,5.95,6.66,6.52,5.77,0.04999999999999982,0.6600000000000001,0.8900000000000006
2019-04-29,6.0,5.75,6.25,6.25,0.25,5.85,6.96,6.75,5.93,0.15000000000000036,0.96,1.0300000000000002
2019-04-30,6.0,5.75,6.25,6.25,0.25,6.06,6.8,6.92,6.04,-0.05999999999999961,0.7999999999999998,0.7599999999999998
2019-05-01,6.0,5.75,6.25,6.25,0.25,5.99,6.61,6.36,5.97,0.009999999999999787,0.6100000000000003,0.6400000000000006
2019-05-02,6.0,5.75,6.25,6.25,0.25,5.92,6.54,6.47,5.86,0.08000000000000007,0.54,0.6799999999999997
2019-05-03,6.0,5.75,6.25,6.25,0.25,6.17,6.88,6.55,6.07,-0.16999999999999993,0.8799999999999999,0.8099999999999996
2019-05-04,6.0,5.75,6.25,6.25,0.25,6.01,6.62,6.73,5.99,-0.009999999999999787,0.6200000000000001,0.6299999999999999
2019-05-05,6.0,5.75,6.25,6.25,0.25,5.9,6.72,6.44,5.84,0.09999999999999964,0.7199999999999998,0.8799999999999999
2019-05-06,6.0,5.75,6.25,6.25,0.25,6.09,7.04,6.38,6.0,-0.08999999999999986,1.04,1.04
2019-05-07,6.0,5.75,6.25,6.25,0.25,5.93,6.68,6.48,5.88,0.07000000000000028,0.6799999999999997,0.7999999999999998
2019-05-08,6.0,5.75,6.25,6.25,0.25,6.0,6.63,6.58,5.95,0.0,0.6299999999999999,0.6799999999999997
2019-05-09,6.0,5.75,6.25,6.25,0.25,5.98,6.61,6.48,6.01,0.019999999999999574,0.6100000000000003,0.6000000000000005
2019-05-10,6.0,5.75,6.25,6.25,0.25,6.05,6.6,6.56,6.01,-0.04999999999999982,0.5999999999999996,0.5899999999999999
2019-05-11,6.0,5.75,6.25,6.25,0.25,5.83,6.83,6.47,6.0,0.16999999999999993,0.8300000000000001,0.8300000000000001
2019-05-12,6.0,5.75,6.25,6.25,0.25,5.92,6.48,6.35,5.95,0.08000000000000007,0.4800000000000004,0.5300000000000002
2019-05-13,6.0,5.75,6.25,6.25,0.25,6.03,6.61,6.63,5.82,-0.03000000000000025,0.6100000000000003,0.79
2019-05-14,6.0,5.75,6.25,6.25,0.25,5.99,6.57,6.47,5.95,0.009999999999999787,0.5700000000000003,0.6200000000000001
2019-05-15,6.0,5.75,6.25,6.25,0.25,5.91,6.69,6.67,5.9,0.08999999999999986,0.6900000000000004,0.79
2019-05-16,6.0,5.75,6.25,6.25,0.25,6.08,6.58,6.61,6.07,-0.08000000000000007,0.5800000000000001,0.5099999999999998
2019-05-17,6.0,5.75,6.25,6.25,0.25,5.75,6.63,6.62,5.93,0.25,0.6299999999999999,0.7000000000000002
2019-05-18,6.0,5.75,6.25,6.25,0.25,6.04,6.66,6.56,5.94,-0.040000000000000036,0.6600000000000001,0.7199999999999998
2019-05-19,6.0,5.75,6.25,6.25,0.25,6.12,6.79,6.59,5.92,-0.1200000000000001,0.79,0.8700000000000001
2019-05-20,6.0,5.75,6.25,6.25,0.25,5.95,6.69,6.6,5.92,0.04999999999999982,0.6900000000000004,0.7700000000000005
2019-05-21,6.0,5.75,6.25,6.25,0.25,6.03,7.06,6.65,5.92,-0.03000000000000025,1.0599999999999996,1.1399999999999997
2019-05-22,6.0,5.75,6.25,6.25,0.25,6.12,6.69,6.31,5.87,-0.1200000000000001,0.6900000000000004,0.8200000000000003
2019-05-23,6.0,5.75,6.25,6.25,0.25,5.81,6.7,6.55,6.08,0.1900000000000004,0.7000000000000002,0.6200000000000001
2019-05-24,6.0,5.75,6.25,6.25,0.25,6.03,6.72,6.65,5.77,-0.03000000000000025,0.7199999999999998,0.9500000000000002
2019-05-25,6.0,5.75,6.25,6.25,0.25,6.02,6.87,6.37,6.04,-0.019999999999999574,0.8700000000000001,0.8300000000000001
2019-05-26,6.0,5.75,6.25,6.25,0.25,6.03,6.69,6.63,6.13,-0.03000000000000025,0.6900000000000004,0.5600000000000005
2019-05-27,6.0,5.75,6.25,6.25,0.25,6.02,6.79,6.49,5.88,-0.019999999999999574,0.79,0.9100000000000001
2019-05-28,6.0,5.75,6.25,6.25,0.25,6.08,6.62,6.56,5.91,-0.08000000000000007,0.6200000000000001,0.71
2019-05-29,6.0,5.75,6.25,6.25,0.25,6.05,6.8,6.67,5.91,-0.04999999999999982,0.7999999999999998,0.8899999999999997
2019-05-30,6.0,5.75,6.25,6.25,0.25,5.97,6.6,6.5,5.98,0.03000000000000025,0.5999999999999996,0.6199999999999992
2019-05-31,6.0,5.75,6.25,6.25,0.25,6.08,6.61,6.65,6.06,-0.08000000000000007,0.6100000000000003,0.5500000000000007
2019-06-01,6.0,5.75,6.25,6.25,0.25,6.04,7.03,6.46,5.85,-0.040000000000000036,1.0300000000000002,1.1800000000000006
2019-06-02,6.0,5.75,6.25,6.25,0.25,5.82,6.97,6.63,5.95,0.17999999999999972,0.9699999999999998,1.0199999999999996
2019-06-03,6.0,5.75,6.25,6.25,0.25,6.03,6.58,6.84,5.96,-0.03000000000000025,0.5800000000000001,0.6200000000000001
2019-06-04,6.0,5.75,6.25,6.25,0.25,6.01,6.86,6.61,5.97,-0.009999999999999787,0.8600000000000003,0.8900000000000006
2019-06-05,6.0,5.75,6.25,6.25,0.25,5.92,6.82,6.78,6.06,0.08000000000000007,0.8200000000000003,0.7600000000000007
2019-06-06,5.75,5.5,6.0,6.0,0.25,6.16,6.67,6.43,5.94,-0.41000000000000014,0.9199999999999999,0.7299999999999995
2019-06-07,5.75,5.5,6.0,6.0,0.25,6.01,6.91,6.35,6.07,-0.2599999999999998,1.1600000000000001,0.8399999999999999
2019-06-08,5.75,5.5,6.0,6.0,0.25,5.98,6.69,6.43,5.82,-0.23000000000000043,0.9400000000000004,0.8700000000000001
2019-06-09,5.75,5.5,6.0,6.0,0.25,6.08,6.76,6.4,5.85,-0.33000000000000007,1.0099999999999998,0.9100000000000001
2019-06-10,5.75,5.5,6.0,6.0,0.25,5.97,7.0,6.52,5.83,-0.21999999999999975,1.25,1.17
2019-06-11,5.75,5.5,6.0,6.0,0.25,5.98,6.71,6.23,5.95,-0.23000000000000043,0.96,0.7599999999999998
2019-06-12,5.75,5.5,6.0,6.0,0.25,5.98,6.85,6.77,6.04,-0.23000000000000043,1.0999999999999996,0.8099999999999996
2019-06-13,5.75,5.5,6.0,6.0,0.25,5.97,6.58,6.86,5.95,-0.21999999999999975,0.8300000000000001,0.6299999999999999
2019-06-14,5.75,5.5,6.0,6.0,0.25,6.0,6.75,6.57,5.94,-0.25,1.0,0.8099999999999996
2019-06-15,5.75,5.5,6.0,6.0,0.25,5.94,6.67,6.55,5.91,-0.1900000000000004,0.9199999999999999,0.7599999999999998
2019-06-16,5.75,5.5,6.0,6.0,0.25,5.93,6.77,6.52,6.07,-0.17999999999999972,1.0199999999999996,0.6999999999999993
2019-06-17,5.75,5.5,6.0,6.0,0.25,5.73,6.91,6.7,5.78,0.019999999999999574,1.1600000000000001,1.13
2019-06-18,5.75,5.5,6.0,6.0,0.25,5.97,6.69,6.38,5.89,-0.21999999999999975,0.9400000000000004,0.8000000000000007
2019-06-19,5.75,5.5,6.0,6.0,0.25,5.89,7.01,6.66,6.05,-0.13999999999999968,1.2599999999999998,0.96
2019-06-20,5.75,5.5,6.0,6.0,0.25,6.07,6.58,6.49,5.99,-0.3200000000000003,0.8300000000000001,0.5899999999999999
2019-06-21,5.75,5.5,6.0,6.0,0.25,5.88,6.86,6.52,5.92,-0.1299999999999999,1.1100000000000003,0.9400000000000004
2019-06-22,5.75,5.5,6.0,6.0,0.25,6.07,6.82,6.51,6.04,-0.3200000000000003,1.0700000000000003,0.7800000000000002
2019-06-23,5.75,5.5,6.0,6.0,0.25,5.89,6.84,6.62,5.93,-0.13999999999999968,1.0899999999999999,0.9100000000000001
2019-06-24,5.75,5.5,6.0,6.0,0.25,6.03,6.56,6.66,5.94,-0.28000000000000025,0.8099999999999996,0.6199999999999992
2019-06-25,5.75,5.5,6.0,6.0,0.25,5.95,6.91,6.47,5.84,-0.20000000000000018,1.1600000000000001,1.0700000000000003
2019-06-26,5.75,5.5,6.0,6.0,0.25,5.84,6.84,6.4,6.09,-0.08999999999999986,1.0899999999999999,0.75
2019-06-27,5.75,5.5,6.0,6.0,0.25,5.79,7.0,6.58,5.94,-0.040000000000000036,1.25,1.0599999999999996
2019-06-28,5.75,5.5,6.0,6.0,0.25,5.95,6.81,6.55,6.04,-0.20000000000000018,1.0599999999999996,0.7699999999999996
2019-06-29,5.75,5.5,6.0,6.0,0.25,6.01,6.77,6.51,5.95,-0.2599999999999998,1.0199999999999996,0.8199999999999994
2019-06-30,5.75,5.5,6.0,6.0,0.25,6.03,6.49,6.39,6.01,-0.28000000000000025,0.7400000000000002,0.4800000000000004
2019-07-01,5.75,5.5,6.0,6.0,0.25,6.02,6.72,6.55,5.98,-0.2699999999999996,0.9699999999999998,0.7399999999999993
2019-07-02,5.75,5.5,6.0,6.0,0.25,5.95,6.63,6.57,5.87,-0.20000000000000018,0.8799999999999999,0.7599999999999998
2019-07-03,5.75,5.5,6.0,6.0,0.25,6.04,6.49,6.67,5.99,-0.29000000000000004,0.7400000000000002,0.5
2019-07-04,5.75,5.5,6.0,6.0,0.25,6.03,6.9,6.75,6.03,-0.28000000000000025,1.1500000000000004,0.8700000000000001
2019-07-05,5.75,5.5,6.0,6.0,0.25,5.82,6.56,6.48,5.95,-0.07000000000000028,0.8099999999999996,0.6099999999999994
2019-07-06,5.75,5.5,6.0,6.0,0.25,6.05,6.64,6.57,5.89,-0.2999999999999998,0.8899999999999997,0.75
2019-07-07,5.75,5.5,6.0,6.0,0.25,5.94,6.54,6.44,5.84,-0.1900000000000004,0.79,0.7000000000000002
2019-07-08,5.75,5.5,6.0,6.0,0.25,5.9,6.91,6.44,6.16,-0.15000000000000036,1.1600000000000001,0.75
2019-07-09,5.75,5.5,6.0,6.0,0.25,6.05,6.78,6.45,6.01,-0.2999999999999998,1.0300000000000002,0.7700000000000005
2019-07-10,5.75,5.5,6.0,6.0,0.25,5.94,6.77,6.86,5.94,-0.1900000000000004,1.0199999999999996,0.8299999999999992
2019-07-11,5.75,5.5,6.0,6.0,0.25,6.11,6.64,6.55,6.09,-0.3600000000000003,0.8899999999999997,0.5499999999999998
2019-07-12,5.75,5.5,6.0,6.0,0.25,5.94,7.02,6.63,5.91,-0.1900000000000004,1.2699999999999996,1.1099999999999994
2019-07-13,5.75,5.5,6.0,6.0,0.25,6.06,6.9,6.62,5.82,-0.3099999999999996,1.1500000000000004,1.08
2019-07-14,5.75,5.5,6.0,6.0,0.25,5.93,6.71,6.54,6.0,-0.17999999999999972,0.96,0.71
2019-07-15,5.75,5.5,6.0,6.0,0.25,6.02,6.55,6.6,6.0,-0.2699999999999996,0.7999999999999998,0.5499999999999998
2019-07-16,5.75,5.5,6.0,6.0,0.25,6.06,6.91,6.65,5.99,-0.3099999999999996,1.1600000000000001,0.9199999999999999
2019-07-17,5.75,5.5,6.0,6.0,0.25,5.99,6.5,6.6,5.97,-0.2400000000000002,0.75,0.5300000000000002
2019-07-18,5.75,5.5,6.0,6.0,0.25,6.03,6.56,6.42,6.03,-0.28000000000000025,0.8099999999999996,0.5299999999999994
2019-07-19,5.75,5.5,6.0,6.0,0.25,6.0,6.85,6.55,5.95,-0.25,1.0999999999999996,0.8999999999999995
